#node1	node2
mt-Nd4	Ndufs2
mt-Nd3	Ndufs2
Ndufb10	Ndufs2
Ndufb5	Ndufc1
Ndufc2	Ndufs6
mt-Nd5	mt-Nd4
Ndufb6	Ndufa2
Ndufa3	Ndufa5
Ndufs2	Ndufa11
Ndufa3	Ndufs1
Ndufv2	Ndufb3
Ndufc1	Ndufa5
mt-Nd5	Ndufs5
Ndufb7	Ndufb9
Ndufc1	Ndufs1
Ndufv2	Ndufb2
Ndufs7	Ndufc2
mt-Nd3	mt-Nd1
mt-Nd5	Ndufa8
Ndufb2	Ndufs3
Ndufb10	Ndufb9
Ndufv2	Ndufb9
Ndufc2	Ndufs2
Ndufv2	Ndufb10
Ndufs7	Ndufa7
Ndufb5	Ndufa5
Ndufa7	Ndufc1
mt-Nd1	Ndufa8
Ndufb5	Ndufb4
mt-Nd3	Ndufs3
Ndufs4	Ndufs6
Ndufa7	Ndufs2
Ndufa13	Ndufb3
Ndufa12	mt-Nd1
Ndufc1	Ndufs5
Ndufv2	Ndufc2
Ndufb3	Ndufs2
Ndufb2	Ndufa3
Ndufa8	Ndufc1
Ndufv2	Ndufa11
Ndufa12	Ndufs2
Ndufb3	Ndufb4
Ndufb3	Ndufa5
Ndufb2	Ndufb6
Ndufv1	Ndufa10
Ndufb2	Ndufc1
Ndufa5	Ndufb9
Ndufb2	Ndufs2
Ndufb2	Ndufs5
Ndufb6	Ndufc1
Ndufc1	Ndufs2
Ndufa13	Ndufs5
Ndufb6	mt-Nd2
mt-Nd2	mt-Nd1
Ndufb5	mt-Nd3
mt-Nd6	mt-Nd2
Ndufb2	Ndufb10
Ndufb6	Ndufs4
Ndufa3	Ndufv1
Ndufb4	Ndufb9
Ndufb11	Ndufs5
mt-Nd6	Ndufa7
Ndufb7	Ndufs6
mt-Nd3	Ndufs5
mt-Nd1	Ndufb4
Ndufb11	Ndufb6
Ndufb5	mt-Nd1
Ndufb6	mt-Nd1
Ndufb11	Ndufs2
mt-Nd6	Ndufb9
Ndufb6	mt-Nd3
Ndufv1	Ndufa7
Ndufb11	Ndufs3
Ndufb6	mt-Nd6
mt-Nd3	Ndufv1
Ndufa7	Ndufa10
mt-Nd3	Ndufb9
Ndufb6	mt-Nd4
Ndufs6	Ndufa1
mt-Nd1	Ndufb9
mt-Nd2	Ndufs1
Ndufb10	Ndufv1
mt-Nd4	Ndufb4
Ndufa8	Ndufb10
mt-Nd6	Ndufab1
Ndufa13	Ndufs7
Ndufv2	mt-Nd4
mt-Nd4	Ndufs1
mt-Nd4	Ndufa3
Ndufa7	Ndufs1
mt-Nd2	Ndufa7
Ndufv2	mt-Nd3
mt-Nd4	mt-Nd1
Ndufa12	Ndufa13
mt-Nd4	mt-Nd2
Ndufa10	Ndufs1
Ndufv2	mt-Nd6
Ndufv2	mt-Nd2
Ndufb5	Ndufb11
Ndufv1	Ndufb9
Ndufv2	Ndufb11
mt-Nd6	Ndufa6
mt-Nd6	Ndufa2
Ndufb2	Ndufa5
Ndufb6	Ndufb10
Ndufb5	Ndufv1
mt-Nd3	Ndufb4
mt-Nd6	mt-Nd3
Ndufb11	Ndufa5
Ndufb5	mt-Nd2
mt-Nd2	Ndufb9
mt-Nd2	Ndufs5
Ndufc1	Ndufb3
Ndufa10	Ndufb9
Ndufa12	Ndufa8
Ndufb4	Ndufa2
mt-Nd2	Ndufs2
Ndufb11	Ndufb4
mt-Nd4	Ndufa7
Ndufa3	Ndufb9
mt-Nd6	Ndufs1
mt-Nd1	Ndufa7
mt-Nd6	Ndufb4
mt-Nd3	Ndufa7
Ndufs5	Ndufa10
Ndufb9	Ndufs6
mt-Nd6	Ndufs2
mt-Nd6	Ndufa8
Ndufa8	Ndufa10
Ndufa7	Ndufb3
Ndufb11	Ndufa3
Ndufb11	Ndufa8
mt-Nd3	Ndufs1
mt-Nd3	Ndufa8
mt-Nd1	Ndufa3
Ndufb5	Ndufa10
Ndufb11	Ndufa7
Ndufb5	Ndufb2
mt-Nd2	Ndufa3
Ndufa10	Ndufs3
mt-Nd2	Ndufa8
Ndufa3	Ndufa2
Ndufb6	Ndufa10
Ndufa5	Ndufs6
mt-Nd4	Ndufb9
mt-Nd3	Ndufa2
mt-Nd2	Ndufb4
mt-Nd3	mt-Nd2
mt-Nd6	Ndufv1
Ndufs5	Ndufb3
mt-Nd6	mt-Nd4
mt-Nd6	Ndufa3
mt-Nd2	Ndufa2
Ndufs1	Ndufb4
Ndufb5	Ndufa13
Ndufb5	mt-Nd6
mt-Nd4	Ndufv1
Ndufb6	Ndufb3
Ndufa3	Ndufb3
mt-Nd3	Ndufa3
mt-Nd2	Ndufv1
mt-Nd6	mt-Nd1
Ndufs7	mt-Nd3
Ndufb10	Ndufa7
Ndufs7	Ndufb3
Ndufv1	Ndufc2
Ndufb6	Ndufb7
Ndufc2	Ndufa5
Ndufs3	Ndufa11
mt-Nd1	Ndufc2
Ndufa3	Ndufb10
Ndufs1	Ndufa1
Ndufc2	Ndufs5
mt-Nd2	Ndufc2
Ndufs7	Ndufb9
Ndufc2	Ndufs4
Ndufa3	Ndufc1
Ndufa7	Ndufb7
Ndufb10	Ndufc1
Ndufb6	Ndufc2
Ndufb6	Ndufa11
Ndufa12	Ndufb7
Ndufa3	Ndufc2
Ndufc2	Ndufs3
Ndufc2	Ndufb9
